"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","inflammatory response","GO:0006954","true","0.009414770635568446","2.0261902558831464","862","129","18","21026","CD44,CTSC,IER3,F3,CXCL8,TFRC,SCGB1A1,CCL5,PLK2,NR4A1,AHR,KLF4,FOS,EGFR,LYZ,NFKBIZ,FOSL2,B4GALT1"
"GO:BP","skin development","GO:0043588","true","0.009768085101542968","2.010190565384886","327","129","11","21026","KRT5,ERRFI1,CSTA,KLF4,KRT17,CTNNB1,EGFR,NFKBIZ,FOSL2,SOX21,PPP3CA"
"GO:BP","regulation of response to stimulus","GO:0048583","false","0.010295833417895646","1.987338492742555","3993","129","46","21026","FABP5,SERPINB3,CD44,CTSC,SLC38A2,SLC12A2,S100A14,IER3,F3,ERRFI1,TSPAN8,NTS,CXCL8,HEXIM1,TFRC,IRS2,DUSP6,GPRC5A,SGK1,CD55,EGR1,SCGB1A1,CCL5,ATF4,STAT2,PLK2,AHR,CDC42SE1,MAT2A,SORL1,KLF4,NR4A2,IER5,TLE4,AVPI1,BPIFB1,GIT2,MCL1,CTNNB1,EGFR,TLE3,TRIB1,INSR,NFKBIZ,FOSL2,PPP3CA"
"GO:BP","response to abiotic stimulus","GO:0009628","false","0.010737213853877344","1.9691083969290821","1144","129","21","21026","EPAS1,SLC38A2,SLC12A2,KRT5,FOSB,TFRC,EGR1,ATF4,NR4A1,TSC22D2,AQP5,NR4A2,IER5,NABP1,CTNNB1,FOS,EGFR,HP1BP3,TSC22D3,FOSL2,CPEB2"
"GO:BP","response to peptide","GO:1901652","false","0.011194694294604356","1.950987761663262","962","129","19","21026","CD44,SLC12A2,F3,CXCL8,TFRC,IRS2,EGR1,SCGB1A1,CCL5,STAT2,MT1X,TCF7,MAT2A,KLF4,TLE4,MCL1,FOS,NFKBIZ,FOSL2"
"GO:BP","signaling","GO:0023052","false","0.01263786538439367","1.898326274951329","6515","129","64","21026","EPAS1,FABP5,SERPINB3,CD44,CTSC,SLC38A2,SLC12A2,S100A14,IER3,F3,ERRFI1,DST,NTS,NAMPT,CXCL8,HEXIM1,TFRC,SPARCL1,IRS2,DUSP6,GPRC5A,SGK1,CD55,EGR1,SCGB1A1,CCL5,ATF4,STAT2,STK17B,PLK2,NR4A1,AHR,MYH9,CDC42SE1,TCF7,ECE1,MAT2A,SORL1,KLF4,NR4A2,TLE4,AVPI1,NABP1,BPIFB1,FOXN3,GIT2,DOCK5,MCL1,CTNNB1,FOS,BCAM,EGFR,SDC1,TLE3,TRIB1,HBP1,ID1,RIT1,CDK6,INSR,NFKBIZ,FOSL2,PPP3CA,PAQR7"
"GO:BP","cell communication","GO:0007154","false","0.014510556388931813","1.838315934770383","6540","129","64","21026","EPAS1,FABP5,SERPINB3,CD44,CTSC,SLC38A2,SLC12A2,S100A14,IER3,F3,ERRFI1,DST,NTS,NAMPT,CXCL8,HEXIM1,TFRC,SPARCL1,IRS2,DUSP6,GPRC5A,SGK1,CD55,EGR1,SCGB1A1,CCL5,ATF4,STAT2,STK17B,PLK2,NR4A1,AHR,MYH9,CDC42SE1,TCF7,ECE1,MAT2A,SORL1,KLF4,NR4A2,TLE4,AVPI1,NABP1,BPIFB1,FOXN3,GIT2,DOCK5,MCL1,CTNNB1,FOS,BCAM,EGFR,SDC1,TLE3,TRIB1,HBP1,ID1,RIT1,CDK6,INSR,NFKBIZ,FOSL2,PPP3CA,PAQR7"
"GO:BP","multicellular organismal-level homeostasis","GO:0048871","false","0.02088767077449075","1.6801099863569224","825","129","17","21026","EPAS1,FABP5,FMO2,SLC12A2,ERRFI1,TFRC,EGR1,ATF4,SORL1,CTNNB1,EGFR,TLE3,ID1,TSC22D3,CDK6,NFKBIZ,FOSL2"
"GO:BP","tissue development","GO:0009888","false","0.021245108891864917","1.6727410385911832","2032","129","29","21026","EPAS1,FABP5,SERPINB3,CD44,KRT5,IFRD1,ERRFI1,KRT15,EGR1,ATF4,CSTA,NR4A1,MYH9,ECE1,SORL1,MRTFB,KLF4,KRT17,CTNNB1,FOS,EGFR,SDC1,CDK6,INSR,NFKBIZ,FOSL2,SOX21,B4GALT1,PPP3CA"
"GO:BP","apoptotic process","GO:0006915","true","0.02150080699525355","1.6675452392933132","1923","129","28","21026","CD44,CTSC,S100A14,IER3,ERRFI1,TFRC,IRS2,PTPRZ1,DUSP6,SGK1,EGR1,CCL5,ATF4,STK17B,CCNL1,PLK2,NR4A1,AHR,KLF4,NR4A2,CCNL2,MCL1,CTNNB1,EGFR,TSC22D3,NFKBIZ,FOSL2,B4GALT1"
"GO:BP","positive regulation of gene expression","GO:0010628","false","0.025777422336673836","1.5887605129301885","1212","129","21","21026","SLC38A2,F3,NTS,CXCL8,TFRC,CD55,EGR1,CCL5,ATF4,MYH9,SORL1,KLF4,TRA2A,NIBAN1,KRT17,CTNNB1,RBBP5,CDK6,PABPC1,TENT5C,PPP3CA"
"GO:BP","response to xenobiotic stimulus","GO:0009410","false","0.029421990266079744","1.5313279525350627","439","129","12","21026","FMO2,ERRFI1,FOSB,TFRC,DUSP6,SCGB1A1,AHR,CTNNB1,FOS,EGFR,NFKBIZ,FOSL2"
"GO:BP","cellular response to endogenous stimulus","GO:0071495","false","0.029505750840599924","1.5300933292784882","1223","129","21","21026","CD44,ERRFI1,FOSB,CXCL8,IRS2,SGK1,EGR1,CCL5,NR4A1,SORL1,KLF4,NR4A2,CTNNB1,FOS,EGFR,ID1,INSR,NFKBIZ,PPP3CA,CPEB2,PAQR7"
"GO:BP","negative regulation of signal transduction","GO:0009968","false","0.030796021881675847","1.5115053804612153","1326","129","22","21026","SERPINB3,CD44,IER3,ERRFI1,CXCL8,DUSP6,GPRC5A,EGR1,CCL5,ATF4,STAT2,SORL1,KLF4,NR4A2,TLE4,BPIFB1,MCL1,CTNNB1,EGFR,TLE3,TRIB1,PPP3CA"
"GO:BP","negative regulation of signaling","GO:0023057","false","0.033497101741776725","1.4749927676498669","1435","129","23","21026","SERPINB3,CD44,IER3,ERRFI1,CXCL8,DUSP6,GPRC5A,EGR1,CCL5,ATF4,STAT2,PLK2,SORL1,KLF4,NR4A2,TLE4,BPIFB1,MCL1,CTNNB1,EGFR,TLE3,TRIB1,PPP3CA"
"GO:BP","response to cytokine","GO:0034097","false","0.033591297615928856","1.4737732192439978","947","129","18","21026","CD44,SLC12A2,F3,CXCL8,TFRC,EGR1,SCGB1A1,CCL5,STAT2,MT1X,TCF7,MAT2A,KLF4,TLE4,MCL1,FOS,NFKBIZ,FOSL2"
"GO:BP","negative regulation of cell communication","GO:0010648","false","0.0338695518050319","1.4701905503258257","1436","129","23","21026","SERPINB3,CD44,IER3,ERRFI1,CXCL8,DUSP6,GPRC5A,EGR1,CCL5,ATF4,STAT2,PLK2,SORL1,KLF4,NR4A2,TLE4,BPIFB1,MCL1,CTNNB1,EGFR,TLE3,TRIB1,PPP3CA"
"GO:BP","regulation of signal transduction","GO:0009966","false","0.03623646630441242","1.4408541603142209","3034","129","37","21026","FABP5,SERPINB3,CD44,CTSC,IER3,F3,ERRFI1,NTS,CXCL8,HEXIM1,TFRC,IRS2,DUSP6,GPRC5A,SGK1,CD55,EGR1,CCL5,ATF4,STAT2,PLK2,CDC42SE1,MAT2A,SORL1,KLF4,NR4A2,TLE4,AVPI1,BPIFB1,GIT2,MCL1,CTNNB1,EGFR,TLE3,TRIB1,INSR,PPP3CA"
"GO:BP","lymphocyte proliferation","GO:0046651","true","0.03895319948342488","1.4094568650535564","311","129","10","21026","TFRC,IRS2,CD55,SCGB1A1,CCL5,AHR,CTNNB1,NFKBIZ,FOSL2,PPP3CA"
"GO:BP","programmed cell death","GO:0012501","false","0.03925690736704415","1.4060839168177925","1987","129","28","21026","CD44,CTSC,S100A14,IER3,ERRFI1,TFRC,IRS2,PTPRZ1,DUSP6,SGK1,EGR1,CCL5,ATF4,STK17B,CCNL1,PLK2,NR4A1,AHR,KLF4,NR4A2,CCNL2,MCL1,CTNNB1,EGFR,TSC22D3,NFKBIZ,FOSL2,B4GALT1"
